TIMESTAMP,temp,SWin,sp,uwind,rh,LWin,z,bcwet,bcdry,ocwet,ocdry,dustwet,dustdry,tp
4/20/2024 23:00,-3.496166667,0,82300,1.6145,28.34166667,694800,1682,0,0,0,0,0,0,0
4/21/2024 0:00,-4.162166667,0,82300,1.791333333,28.38833333,696600,1682,0,0,0,0,0,0,0
4/21/2024 1:00,-4.055333333,0,82233.33333,1.683833333,29.525,694800,1682,0,0,0,0,0,0,0
4/21/2024 2:00,-4.276833333,0,82200,2.037666667,29.805,693000,1682,0,0,0,0,0,0,0
4/21/2024 3:00,-4.1175,0,82200,1.478,27.74833333,687600,1682,0,0,0,0,0,0,0
4/21/2024 4:00,-4.662166667,0,82200,1.9925,28.05333333,684900,1682,0,0,0,0,0,0,0
4/21/2024 5:00,-4.4655,0,82200,1.725333333,33.45833333,683100,1682,0,0,0,0,0,0,0
4/21/2024 6:00,-4.354666667,19763.44974,82200,1.648,36.35666667,683100,1682,0,0,0,0,0,0,0
4/21/2024 7:00,-4.719,120005.454,82200,1.262666667,39.405,685800,1682,0,0,0,0,0,0,0
4/21/2024 8:00,-4.647,962748.12,82200,1.201333333,43.32333333,693900,1682,0,0,0,0,0,0,0
4/21/2024 9:00,-4.268666667,1550394.96,82200,1.143833333,45.69333333,701100,1682,0,0,0,0,0,0,0
4/21/2024 10:00,-4.179833333,2092086.18,82250,0.759333333,46.47666667,717300,1682,0,0,0,0,0,0,0
4/21/2024 11:00,-3.290833333,2531812.44,82300,0.7815,49.08166667,726300,1682,0,0,0,0,0,0,0
4/21/2024 12:00,-0.778166667,2836213.32,82300,0.6635,43.18666667,733500,1682,0,0,0,0,0,0,0
4/21/2024 13:00,-0.797833333,2979239.46,82333.33333,0.760333333,45.49166667,733500,1682,0,0,0,0,0,0,0
4/21/2024 14:00,-0.521166667,2969246.04,82400,0.863166667,42.99,737100,1682,0,0,0,0,0,0,0
4/21/2024 15:00,-0.56,2792336.46,82400,1.1765,47.03666667,734400,1682,0,0,0,0,0,0,0
4/21/2024 16:00,-1.881833333,2426979.06,82400,1.9275,50.22333333,740700,1682,0,0,0,0,0,0,0
4/21/2024 17:00,-2.148333333,2001311.16,82466.66667,2.228833333,53.115,737100,1682,0,0,0,0,0,0,0
4/21/2024 18:00,-2.441166667,1423257.84,82500,1.403833333,52.24166667,737100,1682,0,0,0,0,0,0,0
4/21/2024 19:00,-3.290333333,726255.12,82500,0.622166667,53.31833333,825300,1682,0,0,0,0,0,0,0
4/21/2024 20:00,-3.0565,164277.51,82500,1.587833333,55.85333333,955800,1682,0,0,0,0,0,0,0
4/21/2024 21:00,-3.334333333,8795.967,82550,4.069,62.06333333,1006200,1682,0,0,0,0,0,0,0
4/21/2024 22:00,-3.895,0,82600,3.143,67.45166667,986400,1682,0,0,0,0,0,0,0
4/21/2024 23:00,-3.996333333,0,82600,2.495333333,68.92166667,1017000,1682,0,0,0,0,0,0,0
4/22/2024 0:00,-4.157666667,0,82633.33333,2.109666667,70.43666667,1017900,1682,0,0,0,0,0,0,0
4/22/2024 1:00,-4.0495,0,82700,3.847166667,70.10833333,1015200,1682,0,0,0,0,0,0,0
4/22/2024 2:00,-4.926,0,82700,2.468166667,83.65333333,1026000,1682,0,0,0,0,0,0,0
4/22/2024 3:00,-5.031666667,0,82750,1.73,79.54833333,955800,1682,0,0,0,0,0,0,0
4/22/2024 4:00,-4.9945,0,82800,2.246166667,77.35,886500,1682,0,0,0,0,0,0,0
4/22/2024 5:00,-5.689333333,0,82800,0.565333333,77.83166667,829800,1682,0,0,0,0,0,0,0
4/22/2024 6:00,-6.209166667,24656.40144,82800,1.292333333,72.33,718200,1682,0,0,0,0,0,0,0
4/22/2024 7:00,-6.158333333,160648.998,82800,0.880166667,67.09666667,717300,1682,0,0,0,0,0,0,0
4/22/2024 8:00,-5.8365,715149.6,82800,0.975666667,62.80333333,705600,1682,0,0,0,0,0,0,0
4/22/2024 9:00,-5.809,1334513.1,82800,1.185166667,59.57666667,730800,1682,0,0,0,0,0,0,0
4/22/2024 10:00,-5.509333333,1413658.62,82800,0.696333333,57.66166667,812700,1682,0,0,0,0,0,0,0
4/22/2024 11:00,-4.8425,1738255.68,82866.66667,1.795166667,54.12833333,855900,1682,0,0,0,0,0,0,0
4/22/2024 12:00,-4.507,2067163.5,82900,2.528166667,56.47666667,881100,1682,0,0,0,0,0,0,0
